nome,criado_em,atualizado_em,estrelas,linguagem,prs_merged,releases,issues_total,issues_fechadas,idade_dias,dias_desde_atualizacao,razao_issues_fechadas
geekan/HowToLiveLonger,2022-04-16T04:15:18Z,2026-03-05T18:04:17Z,34965,,14,0,140,103,1419,0,0.7357
pbatard/rufus,2011-11-19T19:12:05Z,2026-03-05T18:20:44Z,34952,C,1,88,2625,2616,5220,0,0.9966
zsh-users/zsh-autosuggestions,2013-10-26T16:09:37Z,2026-03-06T00:27:03Z,34941,Shell,116,0,620,458,4513,-1,0.7387
sorrycc/awesome-javascript,2014-07-01T15:59:02Z,2026-03-06T00:12:18Z,34921,,404,0,93,89,4265,-1,0.957
TriliumNext/Trilium,2017-05-23T00:30:20Z,2026-03-06T01:59:29Z,34901,TypeScript,1801,348,5183,4323,3208,-1,0.8341
netty/netty,2010-11-09T09:22:21Z,2026-03-05T23:40:00Z,34842,Java,5065,0,6849,6281,5595,-1,0.9171
typicode/husky,2014-06-23T12:14:21Z,2026-03-05T07:33:12Z,34839,JavaScript,262,80,1110,1031,4273,0,0.9288
geekcomputers/Python,2011-11-30T09:04:08Z,2026-03-05T23:38:25Z,34784,Python,2016,0,530,159,5209,-1,0.3
fxsjy/jieba,2012-09-29T07:52:01Z,2026-03-05T13:27:44Z,34778,Python,96,9,873,231,4905,0,0.2646
BVLC/caffe,2013-09-12T18:39:48Z,2026-03-05T23:17:56Z,34775,C++,1087,14,4801,3903,4557,-1,0.813
RVC-Project/Retrieval-based-Voice-Conversion-WebUI,2023-03-27T09:59:10Z,2026-03-06T00:45:20Z,34676,Python,477,7,1994,1314,1074,-1,0.659
mouredev/Hello-Python,2022-08-03T17:14:53Z,2026-03-06T02:14:26Z,34676,Python,0,0,425,404,1310,-1,0.9506
ryanhanwu/How-To-Ask-Questions-The-Smart-Way,2015-03-28T16:52:40Z,2026-03-05T18:28:07Z,34656,JavaScript,98,0,30,20,3995,0,0.6667
Textualize/textual,2021-04-08T15:24:47Z,2026-03-06T01:23:19Z,34634,Python,2283,212,2351,2156,1792,-1,0.9171
alan2207/bulletproof-react,2021-05-30T14:47:16Z,2026-03-05T22:27:47Z,34567,TypeScript,70,0,117,77,1740,0,0.6581
laravel/framework,2013-01-10T21:27:28Z,2026-03-06T02:00:46Z,34556,PHP,17566,911,19156,19104,4802,-1,0.9973
xinntao/Real-ESRGAN,2021-07-19T03:23:30Z,2026-03-06T02:09:08Z,34526,Python,21,10,752,174,1690,-1,0.2314
kuchin/awesome-cto,2016-12-16T19:22:18Z,2026-03-06T00:06:43Z,34443,,18,0,14,14,3366,-1,1.0
jaredpalmer/formik,2017-06-14T19:50:59Z,2026-03-05T09:46:24Z,34387,TypeScript,836,200,2268,1562,3186,0,0.6887
directus/directus,2012-12-12T01:35:36Z,2026-03-06T02:08:46Z,34386,TypeScript,8544,357,9741,9392,4831,-1,0.9642
danny-avila/LibreChat,2023-02-12T01:06:52Z,2026-03-06T01:29:37Z,34378,TypeScript,2901,80,4180,3942,1117,-1,0.9431
google/langextract,2025-07-08T20:46:06Z,2026-03-06T00:55:23Z,34349,Python,78,12,180,92,240,-1,0.5111
hyprwm/Hyprland,2022-03-16T19:49:13Z,2026-03-06T02:09:35Z,34344,C++,2277,107,7483,7424,1450,-1,0.9921
xitu/gold-miner,2015-11-04T03:29:13Z,2026-03-05T15:10:06Z,34344,,3563,0,5602,5591,3774,0,0.998
nodejs/node-v0.x-archive,2009-05-27T16:29:46Z,2026-03-05T16:52:19Z,34341,,218,0,6379,6379,6126,0,1.0
mpv-player/mpv,2012-10-13T08:08:44Z,2026-03-05T22:35:45Z,34321,C,3783,88,10842,9867,4891,0,0.9101
python-poetry/poetry,2018-02-28T15:23:47Z,2026-03-06T02:10:54Z,34302,Python,2425,147,6317,5811,2927,-1,0.9199
schollz/croc,2017-10-17T15:20:18Z,2026-03-05T14:25:49Z,34297,Go,283,180,563,561,3061,0,0.9964
nextcloud/server,2016-06-02T07:44:14Z,2026-03-06T01:55:46Z,34257,PHP,30966,405,20841,18363,3563,-1,0.8811
ashishps1/awesome-system-design-resources,2023-10-25T01:50:42Z,2026-03-06T01:37:31Z,34254,Java,3,0,30,26,862,-1,0.8667
chenfei-wu/TaskMatrix,2023-03-02T09:04:28Z,2026-03-05T22:03:45Z,34238,Python,21,0,357,136,1099,0,0.381
pnpm/pnpm,2016-01-28T07:40:43Z,2026-03-05T20:44:28Z,34234,TypeScript,3022,1000,5220,3210,3689,0,0.6149
anthropics/claude-cookbooks,2023-08-15T20:23:51Z,2026-03-06T02:12:33Z,34233,Jupyter Notebook,147,0,131,122,933,-1,0.9313
gchq/CyberChef,2016-11-28T10:34:07Z,2026-03-06T01:41:11Z,34222,JavaScript,555,451,1106,664,3384,-1,0.6004
testerSunshine/12306,2017-05-17T12:23:40Z,2026-03-05T16:43:58Z,34186,Python,31,1,690,466,3214,0,0.6754
refinedev/refine,2021-01-20T12:01:32Z,2026-03-06T01:48:24Z,34181,TypeScript,4653,1000,1726,1715,1870,-1,0.9936
zenorocha/clipboard.js,2015-09-18T23:04:55Z,2026-03-05T12:49:59Z,34178,JavaScript,117,42,629,618,3821,0,0.9825
facebookresearch/detectron2,2019-09-05T21:30:20Z,2026-03-06T02:05:35Z,34170,Python,0,10,3569,3099,2373,-1,0.8683
